Name, StationType, County, MaxTemperature, MinTemperature, Precipitation
KEITHVILLE 1.5 NNW, CoCoRaHS, Caddo Parish, M, M, S
SCOTT 1.0 N, CoCoRaHS, Lafayette Parish, M, M, 0.28
CARENCRO 3.9 ENE, CoCoRaHS, Lafayette Parish, M, M, 0.01
COVINGTON 4.0 NNE, CoCoRaHS, Saint Tammany Parish, M, M, 0.11
ABBEVILLE 1.0 E, CoCoRaHS, Vermilion Parish, M, M, M
NATCHITOCHES #2, COOP, Natchitoches Parish, 87, 70, 0.10
DUTCHTOWN #2, COOP, Ascension Parish, M, M, 0.00
VINTON 5W, COOP, Calcasieu Parish, 87, 71, 0.00
HAMMOND MUNICIPAL AIRPORT, WBAN, Tangipahoa Parish, M, M, M
PORT VINCENT 4.4 W, CoCoRaHS, Ascension Parish, M, M, 0.15
GONZALES 4.0 S, CoCoRaHS, Ascension Parish, M, M, 0.02
BUNKIE 0.3 WSW, CoCoRaHS, Avoyelles Parish, M, M, M
BOSSIER CITY 6.7 NNW, CoCoRaHS, Bossier Parish, M, M, 0.00
BIENVILLE 0.5 S, CoCoRaHS, Bienville Parish, M, M, 0.00
IOWA 0.9 ESE, CoCoRaHS, Calcasieu Parish, M, M, 0.00
WESTLAKE 0.7 WNW, CoCoRaHS, Calcasieu Parish, M, M, 0.00
SULPHUR 2.2 E, CoCoRaHS, Calcasieu Parish, M, M, 0.00
IOWA 9.7 NNW, CoCoRaHS, Calcasieu Parish, M, M, 0.00
SHREVEPORT 6.2 S, CoCoRaHS, Caddo Parish, M, M, 0.00
FERRIDAY 1.1 NNW, CoCoRaHS, Concordia Parish, M, M, M
SICILY ISLAND 3.3 WNW, CoCoRaHS, Catahoula Parish, M, M, 0.38
BATON ROUGE 2.7 SW, CoCoRaHS, East Baton Rouge Parish, M, M, 0.02
GARDERE 1.2 ENE, CoCoRaHS, East Baton Rouge Parish, M, M, 0.03
BROWNFIELDS 5.8 NE, CoCoRaHS, East Baton Rouge Parish, M, M, T
BATON ROUGE 3.5 E, CoCoRaHS, East Baton Rouge Parish, M, M, 0.19
MONTICELLO 3.0 ENE, CoCoRaHS, East Baton Rouge Parish, M, M, M
SHENANDOAH 1.5 E, CoCoRaHS, East Baton Rouge Parish, M, M, 0.00
BROWNFIELDS 4.0 E, CoCoRaHS, East Baton Rouge Parish, M, M, 0.00
BATON ROUGE 2.5 E, CoCoRaHS, East Baton Rouge Parish, M, M, 0.14
CENTRAL 2.2 SE, CoCoRaHS, East Baton Rouge Parish, M, M, 0.00
LSU, CoCoRaHS, East Baton Rouge Parish, M, M, 0.23
BATON ROUGE 4.3 S, CoCoRaHS, East Baton Rouge Parish, M, M, 0.01
INNISWOLD 2.8 S, CoCoRaHS, East Baton Rouge Parish, M, M, 0.05
ZACHARY 0.9 WSW, CoCoRaHS, East Baton Rouge Parish, M, M, 0.00
WINNSBORO 5.3 NNE, CoCoRaHS, Franklin Parish, M, M, M
SHREVEPORT 3.2 ESE, CoCoRaHS, Caddo Parish, M, M, M
BOSSIER CITY 8.2 NNW, CoCoRaHS, Bossier Parish, M, M, 0.01
ST. BERNARD 2.7 E, CoCoRaHS, Saint Bernard Parish, M, M, M
CHAUVIN 4.9 N, CoCoRaHS, Terrebonne Parish, M, M, 0.00
CHAUVIN 1.0 SSW, CoCoRaHS, Terrebonne Parish, M, M, M
HOUMA 6.5 WNW, CoCoRaHS, Terrebonne Parish, M, M, 0.70
COCODRIE 6 N, COOP, Terrebonne Parish, M, M, 0.78
Monroe Area, ThreadEx, -, 84, 69, 0.56
Natchitoches Area, ThreadEx, -, 87, 70, 0.10
Tallulah-Vicksburg Area, ThreadEx, -, 87, 67, 0.28
SHREVEPORT 6.3 S, CoCoRaHS, Caddo Parish, M, M, 0.00
WELSH 0.7 W, CoCoRaHS, Jefferson Davis Parish, M, M, T
MARRERO 1.9 E, CoCoRaHS, Jefferson Parish, M, M, 0.55
RUSTON 5.5 NNW, CoCoRaHS, Lincoln Parish, M, M, 0.00
DENHAM SPRINGS 6.8 N, CoCoRaHS, Livingston Parish, M, M, 0.07
DENHAM SPRINGS 4.1 NE, CoCoRaHS, Livingston Parish, M, M, 0.28
BASTROP 1.0 SSE, CoCoRaHS, Morehouse Parish, M, M, 0.72
SWARTZ 2.0 SSW, CoCoRaHS, Ouachita Parish, M, M, 0.22
MONROE 1.9 NNW, CoCoRaHS, Ouachita Parish, M, M, 1.10
MONROE 2.4 WNW, CoCoRaHS, Ouachita Parish, M, M, 0.38
MONROE 3.2 SSE, CoCoRaHS, Ouachita Parish, M, M, 0.60
CALHOUN 4.3 SSE, CoCoRaHS, Ouachita Parish, M, M, 1.30
NEW ORLEANS 3.6 SW, CoCoRaHS, Orleans Parish, M, M, M
NEW ROADS 2.7 ESE, CoCoRaHS, Pointe Coupee Parish, M, M, 0.16
GRAMERCY 0.4 NW, CoCoRaHS, Saint James Parish, M, M, 0.00
GRAND COTEAU 2.7 E, CoCoRaHS, Saint Landry Parish, M, M, 0.11
ST. MARTINVILLE 0.2 S, CoCoRaHS, Saint Martin Parish, M, M, 0.00
SLIDELL 2.2 NE, CoCoRaHS, Saint Tammany Parish, M, M, M
ABITA SPRINGS 2.2 SSW, CoCoRaHS, Saint Tammany Parish, M, M, 0.00
LACOMBE 1.4 N, CoCoRaHS, Saint Tammany Parish, M, M, 0.00
ABITA SPRINGS 1.9 NE, CoCoRaHS, Saint Tammany Parish, M, M, 0.10
HAMMOND 2.3 WSW, CoCoRaHS, Tangipahoa Parish, M, M, 0.00
TICKFAW 2.0 SSW, CoCoRaHS, Tangipahoa Parish, M, M, M
GRAY 0.5 ENE, CoCoRaHS, Terrebonne Parish, M, M, M
ROCKY BRANCH 1.3 W, CoCoRaHS, Union Parish, M, M, M
KAPLAN 1.6 SSE, CoCoRaHS, Vermilion Parish, M, M, T
PIONEER 0.3 WSW, CoCoRaHS, West Carroll Parish, M, M, 0.40
FRANKLINTON 0.4 ENE, CoCoRaHS, Washington Parish, M, M, 0.61
PLAIN DEALING 3.3 ESE, CoCoRaHS, Bossier Parish, M, M, 0.08
LAKE CHARLES 4.8 SSE, CoCoRaHS, Calcasieu Parish, M, M, M
BATON ROUGE 1.4 WSW, CoCoRaHS, East Baton Rouge Parish, M, M, T
SLIDELL 0.2 SE, CoCoRaHS, Saint Tammany Parish, M, M, 0.00
WAKEFIELD 0.9 WNW, CoCoRaHS, West Feliciana Parish, M, M, 0.12
MINDEN 2.2 NE, CoCoRaHS, Webster Parish, M, M, 0.00
BATON ROUGE 5.3 S, CoCoRaHS, East Baton Rouge Parish, M, M, 0.02
BIG BRANCH NWR LOUISIANA, RAWS, Saint Tammany Parish, 88, 68, M
CANEY - FTS LOUISIANA, RAWS, Claiborne Parish, 83, 69, M
CATAHOULA - FTS LOUISIANA, RAWS, Grant Parish, 87, 70, M
EVANGELINE/GARDNER LOUISIANA, RAWS, Rapides Parish, 88, 70, M
GUM SPRINGS LOUISIANA, RAWS, Winn Parish, 84, 71, M
KISATCHIE - FTS LOUISIANA, RAWS, Natchitoches Parish, 85, 71, M
SABINE LOUISIANA, RAWS, Cameron Parish, 88, 74, M
VERNON LOUISIANA, RAWS, Vernon Parish, 86, 70, M
RUSTON 1.6 NW, CoCoRaHS, Lincoln Parish, M, M, 0.15
COUSHATTA 1.4 NE, CoCoRaHS, Red River Parish, M, M, M
NATCHITOCHES 4.8 WNW, CoCoRaHS, Natchitoches Parish, M, M, M
MANDEVILLE 3.1 NNW, CoCoRaHS, Saint Tammany Parish, M, M, 0.00
ADDIS 1.7 N, CoCoRaHS, West Baton Rouge Parish, M, M, 0.10
MADISONVILLE 3.2 NNW, CoCoRaHS, Saint Tammany Parish, M, M, 0.00
LAKE CHARLES 11.5 SSW, CoCoRaHS, Cameron Parish, M, M, M
PLEASANT HILL 10.2 SE, CoCoRaHS, Sabine Parish, M, M, 0.00
ST. JOSEPH 5.8 NNE, CoCoRaHS, Tensas Parish, M, M, M
PONCHATOULA 4.9 E, CoCoRaHS, Tangipahoa Parish, M, M, 0.00
BATON ROUGE 3.0 SSE, CoCoRaHS, East Baton Rouge Parish, M, M, M
COLUMBIA 4.1 NNW, CoCoRaHS, Caldwell Parish, M, M, 0.28
BATON ROUGE 6.2 ESE, CoCoRaHS, East Baton Rouge Parish, M, M, M
NEW ORLEANS 2.1 ENE, CoCoRaHS, Orleans Parish, M, M, 1.00
TAYLORTOWN, COOP, Bossier Parish, M, M, 0.00
BLANCHARD, COOP, Caddo Parish, 82, 70, 0.01
